####################################################################################################
# Month: 01Jan                                                                                     #
# Station: SPX                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,01,1,10.009492
2009,01,2,5.97542787
2009,01,3,8.00993925
2009,01,4,11.63233188
2009,01,5,11.71814238
2009,01,6,5.37366662
2009,01,7,4.932022
2009,01,8,9.06688275
2009,01,9,5.99021288
2009,01,10,2.7060715
2009,01,11,4.26746625
2009,01,12,2.61587962
2009,01,13,2.80840325
2009,01,14,2.78831312
2009,01,15,4.85381788
2009,01,16,4.76181262
2009,01,17,14.09616925
2009,01,18,22.185003
2009,01,19,24.192281
2009,01,20,14.37563438
2009,01,21,6.39458163
2009,01,22,4.94196012
2009,01,23,21.73747388
2009,01,24,12.8612025
2009,01,25,5.034959
2009,01,26,3.368241
2009,01,27,10.45523737
2009,01,28,10.57877075
2009,01,29,7.08573175
2009,01,30,6.12407087
2009,01,31,7.29882888
