####################################################################################################
# Month: 04Apr                                                                                     #
# Station: ATCA                                                                                    #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,04,1,6.51428525
2009,04,2,10.617714
2009,04,3,4.70577875
2009,04,4,4.281263
2009,04,5,4.210337
2009,04,6,7.25582237
2009,04,7,5.45464162
2009,04,8,6.0630405
2009,04,9,5.76272938
2009,04,10,6.34304062
2009,04,11,7.0723585
2009,04,12,4.876317
2009,04,13,5.4681755
2009,04,14,5.588671
2009,04,15,5.06742612
2009,04,16,4.37747788
2009,04,17,5.49623462
2009,04,18,11.73027162
2009,04,19,14.61194025
2009,04,20,13.08645125
2009,04,21,12.29478412
2009,04,22,8.24593237
2009,04,23,2.95252437
2009,04,24,10.6377825
2009,04,25,10.51356612
2009,04,26,10.39090613
2009,04,27,7.72622863
2009,04,28,5.9027225
2009,04,29,4.919544
2009,04,30,5.59021913
