####################################################################################################
# Month: 06Jun                                                                                     #
# Station: HAN                                                                                     #
# Columns are: year    day     windspeed (m/s)                                                     #
####################################################################################################
2009,1,4.79492875
2009,2,6.183231
2009,3,6.03573575
2009,4,5.82161362
2009,5,6.82371175
2009,6,8.08505788
2009,7,6.30943975
2009,8,5.85051
2009,9,4.46763762
2009,10,5.10588138
2009,11,4.75356387
2009,12,4.23835425
2009,13,5.052508
2009,14,4.491622
2009,15,5.3026515
2009,16,6.625049
2009,17,6.42896225
2009,18,4.69917125
2009,19,4.72656325
2009,20,5.5252545
2009,21,4.431141
2009,22,4.96659975
2009,23,5.27286787
2009,24,5.13630938
2009,25,4.36956525
2009,26,4.41635637
2009,27,4.608682
2009,28,5.72962812
2009,29,5.09948637
2009,30,6.462762
