####################################################################################################
# Month: 07Jul                                                                                     #
# Station: NOEMA                                                                                   #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,07,1,0,2.965948
2009,07,1,1,1.950203
2009,07,1,2,1.097223
2009,07,1,3,1.140819
2009,07,1,4,1.304738
2009,07,1,5,2.478998
2009,07,1,6,3.660386
2009,07,1,7,4.349877
2009,07,2,0,4.26105
2009,07,2,1,3.905529
2009,07,2,2,4.251524
2009,07,2,3,4.147624
2009,07,2,4,4.10279
2009,07,2,5,4.668999
2009,07,2,6,4.655377
2009,07,2,7,4.80129
2009,07,3,0,4.333953
2009,07,3,1,4.517444
2009,07,3,2,4.668765
2009,07,3,3,3.841497
2009,07,3,4,2.818727
2009,07,3,5,3.441715
2009,07,3,6,4.460361
2009,07,3,7,5.499082
2009,07,4,0,5.987914
2009,07,4,1,5.105869
2009,07,4,2,5.341545
2009,07,4,3,5.378693
2009,07,4,4,4.940218
2009,07,4,5,5.182046
2009,07,4,6,5.80492
2009,07,4,7,5.740556
2009,07,5,0,5.493545
2009,07,5,1,5.262789
2009,07,5,2,4.829406
2009,07,5,3,4.086215
2009,07,5,4,5.112388
2009,07,5,5,4.502455
2009,07,5,6,5.286281
2009,07,5,7,7.041831
2009,07,6,0,8.796545
2009,07,6,1,8.306853
2009,07,6,2,5.134113
2009,07,6,3,3.14582
2009,07,6,4,3.050289
2009,07,6,5,3.700239
2009,07,6,6,2.676177
2009,07,6,7,4.742402
2009,07,7,0,7.915546
2009,07,7,1,11.32333
2009,07,7,2,13.959151
2009,07,7,3,14.181996
2009,07,7,4,11.357322
2009,07,7,5,10.059468
2009,07,7,6,10.777385
2009,07,7,7,12.782058
2009,07,8,0,14.542692
2009,07,8,1,14.427664
2009,07,8,2,13.750974
2009,07,8,3,10.532798
2009,07,8,4,6.748095
2009,07,8,5,5.972816
2009,07,8,6,6.194291
2009,07,8,7,4.606904
2009,07,9,0,4.75883
2009,07,9,1,4.385612
2009,07,9,2,4.757867
2009,07,9,3,4.946594
2009,07,9,4,4.415407
2009,07,9,5,5.959233
2009,07,9,6,7.270394
2009,07,9,7,7.690683
2009,07,10,0,8.759798
2009,07,10,1,9.098127
2009,07,10,2,10.296817
2009,07,10,3,10.922071
2009,07,10,4,9.869455
2009,07,10,5,10.566868
2009,07,10,6,9.108713
2009,07,10,7,7.765121
2009,07,11,0,5.836502
2009,07,11,1,6.858284
2009,07,11,2,9.39035
2009,07,11,3,9.736516
2009,07,11,4,9.066151
2009,07,11,5,8.274885
2009,07,11,6,9.06259
2009,07,11,7,10.152711
2009,07,12,0,11.324675
2009,07,12,1,11.01889
2009,07,12,2,11.118056
2009,07,12,3,11.801134
2009,07,12,4,8.905523
2009,07,12,5,7.308861
2009,07,12,6,7.244052
2009,07,12,7,9.669096
2009,07,13,0,12.122021
2009,07,13,1,11.203597
2009,07,13,2,8.705581
2009,07,13,3,7.762047
2009,07,13,4,9.153199
2009,07,13,5,10.058837
2009,07,13,6,9.260638
2009,07,13,7,10.147867
2009,07,14,0,12.403366
2009,07,14,1,15.133513
2009,07,14,2,13.789044
2009,07,14,3,10.905508
2009,07,14,4,10.390144
2009,07,14,5,9.76981
2009,07,14,6,10.185746
2009,07,14,7,11.344054
2009,07,15,0,11.086511
2009,07,15,1,11.53912
2009,07,15,2,9.981755
2009,07,15,3,7.039146
2009,07,15,4,6.330604
2009,07,15,5,5.761987
2009,07,15,6,4.718208
2009,07,15,7,5.119896
2009,07,16,0,6.056678
2009,07,16,1,7.002076
2009,07,16,2,6.853559
2009,07,16,3,4.595328
2009,07,16,4,2.818674
2009,07,16,5,4.509361
2009,07,16,6,5.038991
2009,07,16,7,7.739478
2009,07,17,0,13.036415
2009,07,17,1,16.23129
2009,07,17,2,13.891491
2009,07,17,3,12.50022
2009,07,17,4,13.132339
